0.269169	0.399710	/e/
0.512922	0.755521	/a/
0.875664	1.011982	/ou/
1.176024	1.313497	/a/
1.573423	1.911906	/u/
2.070172	2.243457	/i/
2.456019	2.590026	/i/
2.702083	2.832624	/i/
2.919267	3.072912	/a/
3.221937	3.333994	/a/
3.414860	3.561575	/e/
3.610094	3.748722	/a/
3.966483	4.042150	/e/
4.042150	4.118973	/a/
0.223838	0.286607	/i/
0.368326	0.463072	/a/
0.593941	0.718295	/ou/
0.856269	0.916078	/a/
1.178407	1.334146	/u/
1.589369	1.711355	/i/
1.870055	1.914467	/i/
2.091524	2.145411	/i/
2.297893	2.361847	/a/
2.625064	2.731061	/a/
2.776066	2.824623	/e/
3.055567	3.147649	/a/
3.383774	3.421081	/e/
3.421081	3.460756	/a/
0.109898	0.193003	/o/
0.319703	0.423244	/a/
0.679824	0.765199	/i/
0.829685	0.914606	/u/
0.951844	1.047665	/a/
1.093077	1.154838	/i/
1.208425	1.288805	/a/
1.377813	1.424134	/ao/
1.424134	1.451835	/i/
1.596247	1.653012	/i/
1.807869	1.929574	/a/
2.079889	2.217489	/ai/
2.402771	2.589870	/a/
0.107305	0.258326	/o/
0.444122	0.655751	/a/
0.845522	0.916065	/i/
0.963756	1.030324	/u/
1.070067	1.127693	/a/
1.201217	1.276728	/i/
1.302560	1.341309	/a/
1.401917	1.518164	/ao/
1.518164	1.566848	/i/
1.617520	1.705947	/i/
1.836104	2.057668	/a/
2.204715	2.356730	/ai/
2.488874	2.702490	/a/
0.180204	0.262920	/i/
0.384041	0.465280	/a/
0.524363	0.672071	/i/
0.738540	0.822733	/i/
0.934992	1.059066	/a/
1.104856	1.246655	/a/
0.148389	0.263244	/i/
0.397381	0.479540	/a/
0.547446	0.672361	/i/
0.712603	0.802307	/i/
0.916323	1.017764	/a/
1.058005	1.228191	/a/
0.217572	0.310817	/e/
0.415032	0.524732	/e/
0.745960	1.000099	/u/
1.120769	1.224984	/i/
1.396847	1.459011	/i/
1.532144	1.623561	/e/
1.668355	1.773484	/a/
